Class; Value; Class start; Class end;
1;267;-0.009239451960;0.003528226819;
2;443;0.003528226819;0.016295905598;
3;0;0.016295905598;0.029063584376;
4;0;0.029063584376;0.041831263155;
5;0;0.041831263155;0.054598941933;
6;0;0.054598941933;0.067366620712;
7;0;0.067366620712;0.080134299491;
8;0;0.080134299491;0.092901978269;
9;0;0.092901978269;0.105669657048;
10;0;0.105669657048;0.118437335826;
11;342;0.118437335826;0.131205014605;
12;18;0.131205014605;0.143972693384;
13;0;0.143972693384;0.156740372162;
14;0;0.156740372162;0.169508050941;
15;0;0.169508050941;0.182275729720;
16;0;0.182275729720;0.195043408498;
17;0;0.195043408498;0.207811087277;
18;0;0.207811087277;0.220578766055;
19;0;0.220578766055;0.233346444834;
20;98;0.233346444834;0.246114123613;
21;262;0.246114123613;0.258881802391;
22;0;0.258881802391;0.271649481170;
23;0;0.271649481170;0.284417159948;
24;0;0.284417159948;0.297184838727;
25;0;0.297184838727;0.309952517506;
26;0;0.309952517506;0.322720196284;
27;0;0.322720196284;0.335487875063;
28;0;0.335487875063;0.348255553842;
29;158;0.348255553842;0.361023232620;
30;202;0.361023232620;0.373790911399;
31;0;0.373790911399;0.386558590177;
32;0;0.386558590177;0.399326268956;
33;0;0.399326268956;0.412093947735;
34;0;0.412093947735;0.424861626513;
35;0;0.424861626513;0.437629305292;
36;0;0.437629305292;0.450396984071;
37;81;0.450396984071;0.463164662849;
38;279;0.463164662849;0.475932341628;
39;0;0.475932341628;0.488700020406;
40;0;0.488700020406;0.501467699185;
41;0;0.501467699185;0.514235377964;
42;0;0.514235377964;0.527003056742;
43;0;0.527003056742;0.539770735521;
44;39;0.539770735521;0.552538414299;
45;321;0.552538414299;0.565306093078;
46;0;0.565306093078;0.578073771857;
47;0;0.578073771857;0.590841450635;
48;0;0.590841450635;0.603609129414;
49;0;0.603609129414;0.616376808193;
50;67;0.616376808193;0.629144486971;
51;293;0.629144486971;0.641912165750;
52;0;0.641912165750;0.654679844528;
53;0;0.654679844528;0.667447523307;
54;0;0.667447523307;0.680215202086;
55;319;0.680215202086;0.692982880864;
56;41;0.692982880864;0.705750559643;
57;0;0.705750559643;0.718518238422;
58;261;0.718518238422;0.731285917200;
59;103;0.731285917200;0.744053595979;
60;356;0.744053595979;0.756821274757;
